Time,T,TB4,Q
2020-02-09 14:00:00,284.84999999999997,280.34999999999997,38.888888888888886
2020-02-09 14:15:00,284.825,280.34999999999997,32.63888888888889
2020-02-09 14:30:00,284.79999999999995,280.34999999999997,26.38888888888889
2020-02-09 14:45:00,284.775,280.34999999999997,20.13888888888889
2020-02-09 15:00:00,284.75,280.34999999999997,13.88888888888889
2020-02-09 15:15:00,284.95,280.34999999999997,12.5
2020-02-09 15:30:00,285.15,280.34999999999997,11.11111111111111
2020-02-09 15:45:00,285.34999999999997,280.34999999999997,9.722222222222223
2020-02-09 16:00:00,285.54999999999995,280.34999999999997,8.333333333333334
2020-02-09 16:15:00,285.22499999999997,280.34999999999997,6.25
2020-02-09 16:30:00,284.9,280.34999999999997,4.166666666666667
2020-02-09 16:45:00,284.575,280.34999999999997,2.083333333333334
2020-02-09 17:00:00,284.25,280.34999999999997,0.0
2020-02-09 17:15:00,284.4,280.34999999999997,0.0
2020-02-09 17:30:00,284.54999999999995,280.34999999999997,0.0
2020-02-09 17:45:00,284.7,280.34999999999997,0.0
2020-02-09 18:00:00,284.84999999999997,280.34999999999997,0.0
2020-02-09 18:15:00,284.825,280.3666666666666,0.0
2020-02-09 18:30:00,284.79999999999995,280.3833333333333,0.0
2020-02-09 18:45:00,284.775,280.4,0.0
2020-02-09 19:00:00,284.75,280.41666666666663,0.0
2020-02-09 19:15:00,284.875,280.43333333333334,0.0
2020-02-09 19:30:00,285.0,280.45,0.0
2020-02-09 19:45:00,285.125,280.46666666666664,0.0
2020-02-09 20:00:00,285.25,280.4833333333333,0.0
2020-02-09 20:15:00,284.79999999999995,280.5,0.0
2020-02-09 20:30:00,284.34999999999997,280.51666666666665,0.0
2020-02-09 20:45:00,283.9,280.5333333333333,0.0
2020-02-09 21:00:00,283.45,280.54999999999995,0.0
2020-02-09 21:15:00,283.525,280.56666666666666,0.0
2020-02-09 21:30:00,283.59999999999997,280.5833333333333,0.0
2020-02-09 21:45:00,283.67499999999995,280.59999999999997,0.0
2020-02-09 22:00:00,283.75,280.6166666666666,0.0
2020-02-09 22:15:00,283.775,280.6333333333333,0.0
2020-02-09 22:30:00,283.79999999999995,280.65,0.0
2020-02-09 22:45:00,283.825,280.66666666666663,0.0
2020-02-09 23:00:00,283.84999999999997,280.68333333333334,0.0
2020-02-09 23:15:00,282.4,280.7,0.0
2020-02-09 23:30:00,280.95,280.71666666666664,0.0
2020-02-09 23:45:00,279.5,280.7333333333333,0.0
2020-02-10 00:00:00,278.04999999999995,280.75,0.0
2020-02-10 00:15:00,279.375,280.74583333333334,0.0
2020-02-10 00:30:00,280.7,280.7416666666666,0.0
2020-02-10 00:45:00,282.025,280.73749999999995,0.0
2020-02-10 01:00:00,283.34999999999997,280.7333333333333,0.0
2020-02-10 01:15:00,283.29999999999995,280.72916666666663,0.0
2020-02-10 01:30:00,283.25,280.72499999999997,0.0
2020-02-10 01:45:00,283.2,280.7208333333333,0.0
2020-02-10 02:00:00,283.15,280.71666666666664,0.0
2020-02-10 02:15:00,283.09999999999997,280.7125,0.0
2020-02-10 02:30:00,283.04999999999995,280.7083333333333,0.0
2020-02-10 02:45:00,283.0,280.70416666666665,0.0
2020-02-10 03:00:00,282.95,280.7,0.0
2020-02-10 03:15:00,282.9,280.6958333333333,0.0
2020-02-10 03:30:00,282.84999999999997,280.69166666666666,0.0
2020-02-10 03:45:00,282.79999999999995,280.6875,0.0
2020-02-10 04:00:00,282.75,280.68333333333334,0.0
2020-02-10 04:15:00,282.275,280.6791666666666,0.0
2020-02-10 04:30:00,281.79999999999995,280.67499999999995,0.0
2020-02-10 04:45:00,281.325,280.6708333333333,0.0
2020-02-10 05:00:00,280.84999999999997,280.66666666666663,0.0
2020-02-10 05:15:00,280.75,280.66249999999997,0.0
2020-02-10 05:30:00,280.65,280.6583333333333,0.0
2020-02-10 05:45:00,280.54999999999995,280.65416666666664,0.0
2020-02-10 06:00:00,280.45,280.65,0.0
2020-02-10 06:15:00,280.575,280.65416666666664,0.0
2020-02-10 06:30:00,280.7,280.6583333333333,0.0
2020-02-10 06:45:00,280.825,280.66249999999997,0.0
2020-02-10 07:00:00,280.95,280.66666666666663,0.0
2020-02-10 07:15:00,280.97499999999997,280.6708333333333,2.7777777777777777
2020-02-10 07:30:00,281.0,280.67499999999995,5.555555555555555
2020-02-10 07:45:00,281.025,280.6791666666666,8.333333333333332
2020-02-10 08:00:00,281.04999999999995,280.68333333333334,11.11111111111111
2020-02-10 08:15:00,281.075,280.6875,19.444444444444443
2020-02-10 08:30:00,281.09999999999997,280.69166666666666,27.77777777777777
2020-02-10 08:45:00,281.125,280.6958333333333,36.11111111111111
2020-02-10 09:00:00,281.15,280.7,44.44444444444444
2020-02-10 09:15:00,281.15,280.70416666666665,64.58333333333333
2020-02-10 09:30:00,281.15,280.7083333333333,84.72222222222221
2020-02-10 09:45:00,281.15,280.7125,104.86111111111111
2020-02-10 10:00:00,281.15,280.71666666666664,125.0
2020-02-10 10:15:00,281.15,280.7208333333333,136.80555555555557
2020-02-10 10:30:00,281.15,280.72499999999997,148.61111111111111
2020-02-10 10:45:00,281.15,280.72916666666663,160.41666666666666
2020-02-10 11:00:00,281.15,280.7333333333333,172.22222222222223
2020-02-10 11:15:00,281.22499999999997,280.73749999999995,164.58333333333331
2020-02-10 11:30:00,281.29999999999995,280.7416666666666,156.94444444444446
2020-02-10 11:45:00,281.375,280.74583333333334,149.30555555555554
2020-02-10 12:00:00,281.45,280.75,141.66666666666666
2020-02-10 12:15:00,281.525,280.75,152.08333333333331
2020-02-10 12:30:00,281.59999999999997,280.75,162.5
2020-02-10 12:45:00,281.67499999999995,280.75,172.91666666666666
2020-02-10 13:00:00,281.75,280.75,183.33333333333331
2020-02-10 13:15:00,281.875,280.75,188.19444444444443
2020-02-10 13:30:00,282.0,280.75,193.05555555555557
2020-02-10 13:45:00,282.125,280.75,197.91666666666663
2020-02-10 14:00:00,282.25,280.75,202.77777777777777
2020-02-10 14:15:00,282.25,280.75,174.99999999999997
2020-02-10 14:30:00,282.25,280.75,147.22222222222223
2020-02-10 14:45:00,282.25,280.75,119.44444444444446
2020-02-10 15:00:00,282.25,280.75,91.66666666666669
2020-02-10 15:15:00,282.17499999999995,280.75,74.30555555555556
2020-02-10 15:30:00,282.09999999999997,280.75,56.94444444444445
2020-02-10 15:45:00,282.025,280.75,39.583333333333336
2020-02-10 16:00:00,281.95,280.75,22.22222222222222
2020-02-10 16:15:00,281.625,280.75,17.36111111111111
2020-02-10 16:30:00,281.29999999999995,280.75,12.5
2020-02-10 16:45:00,280.97499999999997,280.75,7.63888888888889
2020-02-10 17:00:00,280.65,280.75,2.7777777777777777
2020-02-10 17:15:00,280.7,280.75,2.083333333333333
2020-02-10 17:30:00,280.75,280.75,1.3888888888888888
2020-02-10 17:45:00,280.79999999999995,280.75,0.6944444444444445
2020-02-10 18:00:00,280.84999999999997,280.75,0.0
2020-02-10 18:15:00,280.92499999999995,280.7416666666666,0.0
2020-02-10 18:30:00,281.0,280.7333333333333,0.0
2020-02-10 18:45:00,281.075,280.72499999999997,0.0
2020-02-10 19:00:00,281.15,280.71666666666664,0.0
2020-02-10 19:15:00,281.04999999999995,280.7083333333333,0.0
2020-02-10 19:30:00,280.95,280.7,0.0
2020-02-10 19:45:00,280.84999999999997,280.69166666666666,0.0
2020-02-10 20:00:00,280.75,280.68333333333334,0.0
2020-02-10 20:15:00,280.09999999999997,280.67499999999995,0.0
2020-02-10 20:30:00,279.45,280.66666666666663,0.0
2020-02-10 20:45:00,278.79999999999995,280.6583333333333,0.0
2020-02-10 21:00:00,278.15,280.65,0.0
2020-02-10 21:15:00,278.325,280.64166666666665,0.0
2020-02-10 21:30:00,278.5,280.6333333333333,0.0
2020-02-10 21:45:00,278.67499999999995,280.625,0.0
2020-02-10 22:00:00,278.84999999999997,280.6166666666666,0.0
2020-02-10 22:15:00,279.0,280.6083333333333,0.0
2020-02-10 22:30:00,279.15,280.59999999999997,0.0
2020-02-10 22:45:00,279.29999999999995,280.59166666666664,0.0
2020-02-10 23:00:00,279.45,280.5833333333333,0.0
