,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2020-01-15 14:15:00,0,661,751,754,525,731,751,718,696,704,0,850,0,751,917,0,724,642,899,727,877,741,904,0,752,725,726,724,756,666,665,0,754,688,762,815,720,715,739,730,668,525,752,711,696,725,661,0,764,0
2020-01-15 14:30:00,731,661,751,754,664,731,751,525,696,704,0,850,525,751,917,680,724,642,0,727,0,741,904,695,0,725,525,724,756,666,525,659,754,0,762,815,720,715,739,730,0,875,752,711,696,725,0,0,764,525
2020-01-15 14:45:00,731,0,751,754,525,731,751,525,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,611,724,756,666,665,0,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-15 15:00:00,525,0,751,754,525,731,751,718,696,704,605,850,613,751,917,680,724,610,899,727,877,741,904,696,752,725,726,724,756,666,0,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,0,654,764,676
2020-01-15 15:15:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,525,654,764,676
2020-01-15 15:30:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,524,654,764,676
2020-01-15 15:45:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,525,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-15 16:00:00,731,525,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,525,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-15 16:15:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-15 16:30:00,731,661,751,754,664,731,751,718,696,704,614,850,715,751,917,680,724,642,899,727,877,741,904,696,752,725,726,724,756,666,665,659,754,688,762,815,720,715,739,730,668,875,752,711,696,725,661,654,764,676
2020-01-15 16:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 17:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 17:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 17:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 18:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15 18:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
